id,reason
abc185_f,seg_tree
abc194_e,seg_tree
abc125_c,seg_tree
abl_d,seg_tree
abc157_e,seg_tree
abc231_f,seg_tree
arc033_3,seg_tree
abc223_f,seg_tree
nikkei2019_2_qual_d,seg_tree
code_festival_qualB_d,seg_tree
donuts_2015_3,seg_tree
abc038_d,seg_tree
abc165_f,seg_tree
arc026_3,seg_tree
jsc2021_f,seg_tree
arc035_d,seg_tree
arc017_4,seg_tree
arc080_c,seg_tree
abc136_f,seg_tree
mujin_pc_2016_d,seg_tree
arc008_4,seg_tree
arc027_4,seg_tree
arc038_c,seg_tree
arc067_d,seg_tree
arc076_d,seg_tree
arc025_4,seg_tree
arc073_d,seg_tree
arc049_d,seg_tree
arc054_d,seg_tree
arc057_b,no_english
arc057_d,no_english
abc041_a,no_english
abc041_b,no_english
abc041_c,no_english
abc041_d,no_english
arc056_a,no_english
arc056_b,no_english
arc056_c,no_english
arc056_d,no_english
abc040_a,no_english
abc040_c,no_english
abc040_d,no_english
abc039_a,no_english
abc039_b,no_english
abc039_c,no_english
abc039_d,no_english
arc055_a,no_english
arc055_b,no_english
abc038_a,no_english
abc038_b,no_english
abc038_c,no_english
abc038_d,no_english
arc054_a,no_english
arc054_b,no_english
arc054_c,no_english
arc054_d,no_english
arc053_a,no_english
arc053_b,no_english
arc053_c,no_english
abc037_a,no_english
abc037_b,no_english
abc037_c,no_english
abc037_d,no_english
arc052_a,no_english
arc052_b,no_english
arc052_c,no_english
arc051_a,no_english
arc051_b,no_english
arc051_c,no_english
arc051_d,no_english
abc036_a,no_english
abc036_b,no_english
abc036_c,no_english
abc036_d,no_english
arc050_a,no_english
arc050_b,no_english
abc035_a,no_english
abc035_b,no_english
abc035_c,no_english
abc035_d,no_english
arc049_b,no_english
arc049_c,no_english
arc049_d,no_english
abc034_a,no_english
abc034_b,no_english
abc034_c,no_english
abc034_d,no_english
arc048_a,no_english
arc048_c,no_english
discovery_2016_final_c,no_english
abc033_a,no_english
abc033_b,no_english
abc033_c,no_english
abc033_d,no_english
discovery_2016_qual_b,no_english
discovery_2016_qual_c,no_english
dwango2016qual_a,no_english
dwango2016qual_b,no_english
dwango2016qual_c,no_english
dwango2016qual_d,no_english
dwango2016qual_e,no_english
arc047_a,no_english
arc047_b,no_english
abc032_a,no_english
abc032_b,no_english
abc032_c,no_english
abc032_d,no_english
arc046_a,no_english
arc046_b,no_english
arc046_c,no_english
arc046_d,no_english
abc031_a,no_english
abc031_b,no_english
abc031_c,no_english
abc031_d,no_english
cf_2015_morning_hard_a,no_english
cf_2015_morning_easy_c,no_english
cf_2015_morning_hard_b,no_english
cf_2015_morning_easy_d,no_english
cf_2015_morning_easy_b,no_english
cf_2015_morning_hard_c,no_english
cf_2015_morning_hard_h,no_english
abc030_a,no_english
abc030_b,no_english
abc030_c,no_english
abc030_d,no_english
arc045_a,no_english
arc045_b,no_english
arc045_c,no_english
arc045_d,no_english
codefestival_2015_qualA_b,no_english
codefestival_2015_qualA_d,no_english
abc029_a,no_english
abc029_b,no_english
arc044_a,no_english
arc044_b,no_english
arc044_c,no_english
abc028_a,no_english
abc028_b,no_english
abc028_d,no_english
tenka1_2015_qualB_b,no_english
tenka1_2015_qualB_c,no_english
tenka1_2015_qualB_d,no_english
tenka1_2015_qualB_e,no_english
arc043_a,no_english
arc043_b,no_english
arc043_c,no_english
arc043_d,no_english
abc027_a,no_english
abc027_b,no_english
abc027_c,no_english
abc027_d,no_english
tenka1_2015_qualA_a,no_english
tenka1_2015_qualA_c,no_english
tenka1_2015_qualA_d,no_english
tenka1_2015_qualA_e,no_english
arc042_a,no_english
arc042_b,no_english
arc042_c,no_english
arc042_d,no_english
abc026_a,no_english
abc026_c,no_english
arc041_a,no_english
arc041_b,no_english
arc041_c,no_english
arc041_d,no_english
abc025_b,no_english
arc040_a,no_english
arc040_b,no_english
arc040_d,no_english
abc024_a,no_english
abc024_b,no_english
abc024_c,no_english
abc024_d,no_english
arc039_b,no_english
arc039_c,no_english
arc039_d,no_english
abc023_a,no_english
abc023_b,no_english
abc023_c,no_english
abc023_d,no_english
arc038_a,no_english
arc038_b,no_english
arc038_c,no_english
arc038_d,no_english
arc037_a,no_english
arc037_b,no_english
arc037_c,no_english
abc021_a,no_english
abc021_b,no_english
abc021_c,no_english
abc021_d,no_english
arc036_a,no_english
arc036_b,no_english
arc036_c,no_english
arc036_d,no_english
abc020_a,no_english
abc020_b,no_english
abc020_c,no_english
indeednow_2015_qualb_1,no_english
indeednow_2015_qualb_2,no_english
indeednow_2015_qualc_3,no_english
indeednow_2015_qualb_4,no_english
indeednow_2015_quala_1,no_english
indeednow_2015_quala_3,no_english
indeednow_2015_quala_4,no_english
arc035_a,no_english
arc035_b,no_english
arc035_c,no_english
arc035_d,no_english
abc019_1,no_english
abc019_2,no_english
abc019_3,no_english
abc019_4,no_english
arc034_1,no_english
arc034_2,no_english
arc034_3,no_english
arc034_4,no_english
donuts_2015_1,no_english
donuts_2015_3,no_english
donuts_2015_4,no_english
abc018_1,no_english
abc018_2,no_english
abc018_3,no_english
abc018_4,no_english
arc033_1,no_english
arc033_2,no_english
arc033_3,no_english
arc033_4,no_english
dwango2015_prelims_2,no_english
dwango2015_prelims_3,no_english
dwango2015_prelims_4,no_english
dwango2015_prelims_5,no_english
abc017_1,no_english
abc017_3,no_english
abc017_4,no_english
arc032_1,no_english
arc032_2,no_english
arc032_3,no_english
arc032_4,no_english
arc031_1,no_english
arc031_2,no_english
arc031_3,no_english
arc031_4,no_english
abc016_3,no_english
abc016_4,no_english
arc030_1,no_english
arc030_2,no_english
arc030_3,no_english
arc030_4,no_english
abc015_1,no_english
abc015_2,no_english
abc015_3,no_english
abc015_4,no_english
code_festival_morning_easy_a,no_english
code_festival_morning_easy_b,no_english
code_festival_morning_easy_c,no_english
code_festival_morning_easy_d,no_english
code_festival_morning_med_d,no_english
code_festival_final_b,no_english
code_festival_final_d,no_english
code_festival_final_e,no_english
code_festival_final_f,no_english
code_festival_final_g,no_english
code_festival_final_h,no_english
code_festival_qualB_a,no_english
code_festival_qualB_b,no_english
code_festival_qualB_c,no_english
code_festival_qualB_d,no_english
code_formula_2014_final_d,no_english
code_formula_2014_final_g,no_english
code_formula_2014_final_h,no_english
arc029_1,no_english
arc029_2,no_english
arc029_3,no_english
arc029_4,no_english
code_festival_qualA_b,no_english
code_festival_qualA_d,no_english
abc014_1,no_english
abc014_2,no_english
abc014_4,no_english
arc028_1,no_english
arc028_2,no_english
arc028_3,no_english
arc028_4,no_english
code_formula_2014_qualB_a,no_english
code_formula_2014_qualB_c,no_english
code_formula_2014_qualB_d,no_english
tenka1_2014_qualB_b,no_english
tenka1_2014_qualB_c,no_english
tenka1_2014_qualB_d,no_english
tenka1_2014_qualB_e,no_english
code_formula_2014_qualA_a,no_english
code_formula_2014_qualA_b,no_english
code_formula_2014_qualA_c,no_english
code_formula_2014_qualA_d,no_english
abc013_2,no_english
abc013_3,no_english
abc013_4,no_english
tenka1_2014_qualA_a,no_english
tenka1_2014_qualA_b,no_english
tenka1_2014_qualA_c,no_english
tenka1_2014_qualA_e,no_english
arc027_1,no_english
arc027_3,no_english
arc027_4,no_english
abc012_1,no_english
abc012_2,no_english
abc012_3,no_english
abc012_4,no_english
arc026_1,no_english
arc026_2,no_english
arc026_3,no_english
arc026_4,no_english
abc011_1,no_english
abc011_2,no_english
abc011_4,no_english
arc025_1,no_english
arc025_2,no_english
arc025_3,no_english
arc025_4,no_english
abc010_1,no_english
abc010_2,no_english
abc010_3,no_english
abc010_4,no_english
arc024_1,no_english
arc024_2,no_english
arc024_3,no_english
arc024_4,no_english
abc009_1,no_english
abc009_2,no_english
abc009_3,no_english
abc009_4,no_english
arc023_1,no_english
arc023_3,no_english
abc008_1,no_english
abc008_2,no_english
abc008_3,no_english
abc008_4,no_english
arc022_2,no_english
arc022_3,no_english
abc007_1,no_english
abc007_2,no_english
abc007_3,no_english
abc007_4,no_english
arc021_3,no_english
arc021_4,no_english
abc006_2,no_english
abc006_3,no_english
abc006_4,no_english
arc020_1,no_english
arc020_2,no_english
arc020_4,no_english
abc005_1,no_english
abc005_2,no_english
abc005_3,no_english
abc005_4,no_english
arc019_1,no_english
arc019_2,no_english
arc019_3,no_english
arc019_4,no_english
arc018_2,no_english
arc018_3,no_english
arc018_4,no_english
abc004_1,no_english
abc004_2,no_english
abc004_3,no_english
abc004_4,no_english
arc017_1,no_english
arc017_2,no_english
arc017_3,no_english
arc016_1,no_english
arc016_2,no_english
arc016_3,no_english
arc016_4,no_english
abc002_1,no_english
abc002_2,no_english
abc002_3,no_english
abc002_4,no_english
abc001_1,no_english
abc001_2,no_english
abc001_3,no_english
abc001_4,no_english
arc015_2,no_english
arc015_3,no_english
arc015_4,no_english
tenka1_2013_qualB_a,no_english
tenka1_2013_qualB_b,no_english
tenka1_2013_qualB_c,no_english
tenka1_2013_qualB_d,no_english
tenka1_2013_qualB_e,no_english
tenka1_2013_qualA_a,no_english
tenka1_2013_qualA_b,no_english
tenka1_2013_qualA_c,no_english
tenka1_2013_qualA_d,no_english
tenka1_2013_qualA_e,no_english
arc014_2,no_english
arc014_3,no_english
arc013_1,no_english
arc013_2,no_english
arc013_3,no_english
arc013_4,no_english
arc012_1,no_english
arc012_2,no_english
arc012_3,no_english
arc011_1,no_english
arc011_2,no_english
arc011_3,no_english
arc011_4,no_english
arc010_1,no_english
arc010_2,no_english
arc010_3,no_english
arc010_4,no_english
arc009_1,no_english
arc009_2,no_english
arc009_4,no_english
arc008_1,no_english
arc008_2,no_english
arc008_4,no_english
arc007_1,no_english
arc007_3,no_english
arc007_4,no_english
tenka1_2012_9,no_english
tenka1_2012_10,no_english
tenka1_2012_12,no_english
tenka1_2012_5,no_english
tenka1_2012_7,no_english
tenka1_2012_8,no_english
tenka1_2012_qualA_1,no_english
tenka1_2012_qualA_2,no_english
tenka1_2012_qualA_3,no_english
tenka1_2012_qualA_4,no_english
arc006_1,no_english
arc006_2,no_english
arc006_3,no_english
arc006_4,no_english
arc005_1,no_english
arc005_3,no_english
arc005_4,no_english
arc003_2,no_english
arc003_3,no_english
arc003_4,no_english
arc002_1,no_english
arc002_2,no_english
arc002_3,no_english
arc002_4,no_english
arc048_b,no_english
digitalarts_2,no_english
abc029_d,no_english
arc021_2,no_english
code_formula_2014_final_f,no_english
